City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Sept-Îles,50.2,-66.38,33.8,37,5,6.93,CA,1587884147
Williams Lake,52.14,-122.14,41.0,55,40,3.36,CA,1587884147
Constitución,-35.33,-72.42,55.54,81,0,6.49,CL,1587884147
el Prat de Llobregat,41.33,2.09,62.01,82,20,6.93,ES,1587884147
Hasaki,35.73,140.83,72.0,43,75,23.04,JP,1587884148
Dikson,73.51,80.55,20.88,96,83,13.0,RU,1587884148
George Town,5.41,100.34,87.8,70,20,6.93,MY,1587884148
Port-Gentil,-0.72,8.78,75.2,100,20,3.36,GA,1587884148
Torbay,47.67,-52.73,33.01,86,5,14.99,CA,1587884148
Tuatapere,-46.13,167.68,59.0,59,98,14.0,NZ,1587884149
Vaini,-21.2,-175.2,71.6,100,90,3.36,TO,1587884149
Igrim,63.19,64.42,37.15,79,94,3.06,RU,1587884149
Provideniya,64.38,-173.3,26.65,94,0,0.85,RU,1587884149
Santa Maria,-29.68,-53.81,70.43,57,77,3.0,BR,1587884149
Neiafu,-18.65,-173.98,80.6,83,75,7.11,TO,1587884150
Nabire,-3.37,135.48,86.92,65,97,5.79,ID,1587884150
Yumen,40.28,97.2,73.99,6,0,13.69,CN,1587884150
Katsuura,35.13,140.3,72.0,49,75,25.28,JP,1587884150
Khatanga,71.97,102.5,23.68,95,100,15.19,RU,1587884150
Tiksi,71.69,128.87,36.32,94,100,24.99,RU,1587884151
Tual,-5.67,132.75,84.42,75,94,11.79,ID,1587884151
Saldanha,-33.01,17.94,57.2,76,0,1.12,ZA,1587884151
Riviere-au-Renard,49.0,-64.4,30.2,46,5,5.82,CA,1587884151
Bredasdorp,-34.53,20.04,57.2,87,2,5.82,ZA,1587884151
Panzhihua,26.59,101.71,61.0,54,94,5.01,CN,1587884152
Howard Springs,-12.5,131.05,93.99,55,40,8.05,AU,1587884152
Nikolskoye,59.7,30.79,42.8,41,40,13.42,RU,1587884152
Ushuaia,-54.8,-68.3,33.8,80,15,4.7,AR,1587883901
Hobart,-42.88,147.33,55.4,32,75,20.8,AU,1587884149
Río Gallegos,-51.62,-69.22,44.6,87,40,11.41,AR,1587884152
San Policarpo,12.18,125.51,84.56,73,1,11.27,PH,1587884153
Rikitea,-23.12,-134.97,76.01,76,0,17.31,PF,1587884153
Nālūt,30.33,10.85,74.88,28,21,13.4,LY,1587884153
Teahupoo,-17.83,-149.27,80.6,74,20,16.11,PF,1587884153
Korem,12.51,39.52,63.99,32,63,3.87,ET,1587884154
Saint George,37.1,-113.58,68.0,32,1,9.17,US,1587884154
Kruisfontein,-34.0,24.73,59.65,78,8,14.83,ZA,1587884154
Saint Paul Harbor,57.79,-152.41,44.6,56,1,8.05,US,1587884154
Punta Arenas,-53.15,-70.92,28.4,86,0,5.82,CL,1587883872
Atar,20.52,-13.05,67.1,25,0,10.76,MR,1587884155
East London,-33.02,27.91,64.62,79,98,18.19,ZA,1587884155
Henties Bay,-22.12,14.28,55.0,96,62,3.91,NA,1587884155
Gravdal,68.12,13.5,37.49,78,50,18.79,NO,1587884155
Alice Springs,-23.7,133.88,91.4,10,31,9.17,AU,1587884156
Troitskiy,57.06,63.75,55.63,51,99,14.23,RU,1587884156
Wattegama,6.8,81.48,91.4,66,75,2.44,LK,1587884156
Port Alfred,-33.59,26.89,64.99,82,83,5.01,ZA,1587884045
Fairbanks,64.84,-147.72,33.8,90,1,8.05,US,1587884156
Bluff,-46.6,168.33,59.0,59,99,14.0,NZ,1587884112
Tuktoyaktuk,69.45,-133.04,-2.0,90,10,12.57,CA,1587884157
Mount Gambier,-37.83,140.77,59.0,54,43,13.87,AU,1587884157
Lavrentiya,65.58,-171.0,23.54,93,0,3.49,RU,1587884157
Ongandjera,-17.88,15.07,65.23,39,1,4.81,NA,1587884157
Castro,-24.79,-50.01,57.74,72,0,0.83,BR,1587884158
Kapaa,22.08,-159.32,75.2,78,75,16.11,US,1587884158
Sipoo,60.38,25.27,39.99,51,16,5.82,FI,1587884158
Aras,42.56,-2.36,57.2,100,90,1.12,ES,1587884158
Barrow,71.29,-156.79,17.6,78,90,11.41,US,1587884159
Pevek,69.7,170.31,19.15,96,99,4.18,RU,1587884159
Cabo San Lucas,22.89,-109.91,77.0,47,6,10.31,MX,1587884159
Jamestown,42.1,-79.24,52.0,81,90,8.05,US,1587883899
San Patricio,19.22,-104.7,72.3,68,47,3.0,MX,1587884159
Jalu,29.03,21.55,73.2,30,37,7.92,LY,1587884160
Gitega Province,-3.5,29.95,64.87,52,29,1.5,BI,1587884160
Mitsamiouli,-11.38,43.28,86.0,70,20,5.82,KM,1587884160
Lima Duarte,-21.84,-43.79,59.4,75,18,1.68,BR,1587884160
Touros,-5.2,-35.46,75.2,100,40,3.36,BR,1587884161
Homer,59.64,-151.55,48.2,45,1,11.41,US,1587884161
Yumbe,3.47,31.25,71.04,66,73,5.55,UG,1587884161
Avarua,-21.21,-159.78,73.4,94,67,1.12,CK,1587883981
Ta Khmau,11.48,104.95,93.2,52,40,5.82,KH,1587884161
Haining,30.54,120.69,82.4,26,97,4.47,CN,1587884161
Boende,-0.22,20.87,75.58,84,81,1.99,CD,1587884162
Butaritari,3.07,172.79,83.01,81,95,17.92,KI,1587884162
Saskylakh,71.92,114.08,31.62,98,100,27.85,RU,1587884162
Iwanai,42.97,140.51,46.31,78,64,10.54,JP,1587884163
Chul'man,56.85,124.91,41.97,47,31,3.44,RU,1587884163
Belmonte,-15.86,-38.88,77.0,88,75,4.7,BR,1587884163
Thompson,55.74,-97.86,39.2,51,5,5.82,CA,1587884163
La Peca,-5.61,-78.44,67.62,62,43,1.43,PE,1587884163
Tochtepec,18.83,-97.82,65.46,33,98,5.66,MX,1587884164
Hong Kong,22.29,114.16,82.0,57,20,10.29,HK,1587883896
Hay River,60.82,-115.8,13.98,93,100,13.94,CA,1587884164
Clifton,40.86,-74.16,50.0,66,75,7.76,US,1587884165
Saint-Philippe,-21.36,55.77,82.4,78,0,4.7,RE,1587884165
Lüderitz,-26.65,15.16,57.2,93,0,3.36,NA,1587884165
Sabha,27.04,14.43,80.15,21,29,18.84,LY,1587884165
Samarai,-10.62,150.67,84.51,71,43,4.47,PG,1587884165
Kavaratti,10.57,72.64,89.6,66,20,4.7,IN,1587884165
Keuruu,62.27,24.7,39.2,55,50,9.17,FI,1587884166
Sioux Lookout,50.1,-91.92,35.6,51,5,3.36,CA,1587884166
Belaya Gora,68.53,146.42,31.32,98,17,11.72,RU,1587884166
